Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2017,1,Myles Garrett,1,DE,2023,2,4,6,62,92,0,0,0,0,0,,,0,,,0,,84.0,Texas A&M,GarrMy00
2017,1,Jabrill Peppers,25,S,2023,0,0,4,24,87,0,0,0,0,0,,,0,,,0,5,4.5,Michigan,PeppJa00
2017,1,David Njoku,29,TE,2023,0,0,3,18,87,0,0,0,0,0,4,-6,0,238,2701,21,,,Miami (FL),NjokDa00
2017,2,DeShone Kizer,52,QB,2018,0,0,1,6,18,275,518,3081,11,24,82,458,5,,,0,,,Notre Dame,KizeDe00
2017,3,Larry Ogunjobi,65,DT,2023,0,0,5,34,100,0,0,0,0,0,,,0,,,0,,25.0,Charlotte,OgunLa00
2017,4,Howard Wilson,126,CB,,0,0,0,,,,,,,,,,,,,,,,Houston,WilsHo00
2017,5,Roderick Johnson,160,T,2020,0,0,0,5,29,0,0,0,0,0,,,0,,,0,,,Florida St.,JohnRo06
2017,6,Caleb Brantley,185,DT,2019,0,0,0,2,20,0,0,0,0,0,,,0,,,0,,2.0,Florida,BranCa00
2017,7,Zane Gonzalez,224,K,2021,0,0,0,11,63,0,0,0,0,0,,,0,,,0,,,Arizona St.,GonzZa00
2017,7,Matthew Dayes,252,RB,2018,0,0,0,0,23,0,0,0,0,0,5,13,0,4,29,0,,,North Carolina St.,DayeMa00
2016,1,Corey Coleman,15,WR,2018,0,0,2,6,27,0,0,0,0,0,3,15,0,61,789,5,,,Baylor,ColeCo00
2016,2,Emmanuel Ogbah,32,DE,2023,0,0,5,33,101,0,0,0,0,0,,,0,,,0,1,39.5,Oklahoma St.,OgbaEm00
2016,3,Carl Nassib,65,DE,2022,0,0,1,20,99,0,0,0,0,0,,,0,,,0,1,25.5,Penn St.,NassCa00
2016,3,Shon Coleman,76,T,2017,0,0,1,6,23,0,0,0,0,0,,,0,,,0,,,Auburn,ColeSh00
2016,3,Cody Kessler,93,QB,2018,0,0,1,5,17,224,349,2215,8,5,31,140,0,,,0,,,USC,KessCo00
2016,4,Joe Schobert,99,OLB,2022,0,1,5,37,99,0,0,0,0,0,,,0,,,0,10,11.0,Wisconsin,SchoJo00
2016,4,Ricardo Louis,114,WR,2017,0,0,1,3,32,0,0,0,0,0,,,0,45,562,0,,,Auburn,LouiRi00
2016,4,Derrick Kindred,129,S,2018,0,0,1,8,42,0,0,0,0,0,,,0,,,0,2,,TCU,KindDe00
2016,4,Seth Devalve,138,TE,2020,0,0,0,6,57,0,0,0,0,0,,,0,60,736,4,,,Princeton,DevaSe00
2016,5,Jordan Payton,154,WR,2016,0,0,0,0,4,0,0,0,0,0,,,0,1,3,0,,,UCLA,PaytJo00
2016,5,Spencer Drango,168,G,2017,0,0,2,8,32,0,0,0,0,0,,,0,,,0,,,Baylor,DranSp00
2016,5,Rashard Higgins,172,WR,2022,0,0,0,13,85,0,0,0,0,0,1,4,0,137,1890,12,,,Colorado St.,HiggRa00
